Family	!	Scientific Name	Author	Reference	Date
"Acanthaceae"	"**"	"Pseuderanthemum cuspidatum"	"(Nees) Radlk."	"Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München 13(2): 286"	"1883"
"Acanthaceae"	"**"	"Pseuderanthemum cuspidatum"	"(Nees) V.M. Baum"	"Brittonia 34(4): 433"	"1982"
"Acanthaceae"	""	"Pseuderanthemum fasciculatum"	"(Oerst.) Leonard"	"Bull. Misc. Inform. Kew 1938(2): 69"	"1938"
"Acanthaceae"	""	"Pseuderanthemum praecox"	"(Benth.) Leonard"	"J. Wash. Acad. Sci. 31(3): 99"	"1941"
"Malvaceae"	""	"Pseudobombax ellipticum"	"(Kunth) Dugand"	"Caldasia 2(6): 67"	"1943"
"Malvaceae"	""	"Pseudobombax septenatum"	"(Jacq.) Dugand"	"Caldasia 2(6): 65–67"	"1943"
"Asteraceae"	"!"	"Pseudoconyza"	"Cuatrec."	"Ciencia (Mexico) 21(1): 30–31, f. 4a–i"	"1961"
"Asteraceae"	"!"	"Pseudoconyza viscosa"	"(Mill.) D'Arcy"	"Phytologia 25(5): 281"	"1973"
"Asteraceae"	"!"	"Pseudognaphalium"	"Kirp."	"Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast. 9: 33"	"1950"
"Asteraceae"	""	"Pseudognaphalium attenuatum"	"(DC.) Anderb."	"Opera Bot. 104: 147"	"1991"
"Asteraceae"	""	"Pseudognaphalium brachypterum"	"(DC.) Anderb."	"Opera Bot. 104: 147"	"1991"
"Asteraceae"	""	"Pseudognaphalium semiamplexicaule"	"(DC.) Anderb."	"Opera Bot. 104: 148"	"1991"
"Asteraceae"	""	"Pseudogynoxys"	"(Greenm.) Cabrera"	"Brittonia 7(2): 54"	"1950"
"Asteraceae"	""	"Pseudogynoxys chenopodioides"	"(Kunth) Cabrera"	"Brittonia 7(2): 56"	"1950"
"Asteraceae"	""	"Pseudogynoxys cummingii"	"(Benth.) H. Rob. & Cuatrec."	"Phytologia 36(3): 185"	"1977"
"Asteraceae"	""	"Pseudogynoxys haenkei"	"(DC.) Cabrera"	"Brittonia 7(2): 54"	"1950"
"Moraceae"	""	"Pseudolmedia glabrata"	"(Liebm.) C.C. Berg"	"Novon 6(3): 241"	"1996"
"Lycopodiaceae"	""	"Pseudolycopodiella"	"Holub"	"Folia Geobot. Phytotax. 18(4): 441"	"1983"
"Cactaceae"	""	"Pseudorhipsalis ramulosa"	"(Salm-Dyck) Barthlott"	"Bradleya 9: 90"	"1991"
"Fabaceae"	""	"Pseudosamanea guachapele"	"(Kunth) Harms"	"Notizbl. Bot. Gart. Berlin-Dahlem 11(101): 54"	"1930"
"Myrtaceae"	""	"Psidium"	"L."	"Sp. Pl. 1: 470"	"1753"
"Myrtaceae"	"!"	"Psidium cattleyanum"	"Sabine"	"Trans. Hort. Soc. London 4: [315–]–317, pl. 11"	"1822 [1821]"
"Myrtaceae"	""	"Psidium friedrichsthalianum"	"(O. Berg) Nied."	"Nat. Pflanzenfam. 3(7): 69"	"1893"
"Myrtaceae"	""	"Psidium guajava"	"L."	"Sp. Pl. 1: 470"	"1753"
"Myrtaceae"	""	"Psidium guineense"	"Sw."	"Prodr. 77"	"1788"
"Myrtaceae"	""	"Psidium oligospermum"	"DC."	"Prodr. 3: 236"	"1828"
"Myrtaceae"	""	"Psidium salutare"	"(Kunth) O. Berg"	"Linnaea 27(2–3): 356"	"1854 [1856]"
"Myrtaceae"	""	"Psidium sartorianum"	"(O. Berg) Nied."	"Nat. Pflanzenfam. 3(7): 69"	"1893"
"Orchidaceae"	""	"Psilochilus"	"Barb. Rodr."	"Gen. Sp. Orchid. 2: 272–273"	"1882"
"Orchidaceae"	""	"Psilochilus macrophyllus"	"(Lindl.) Ames"	"Orchidaceae 7: 45, t. 110"	"1922"
"Psilotaceae"	"!"	"Psilotum"	"Sw."	"J. Bot. (Schrader) 1800(2): 8, 109"	"1801"
"Psilotaceae"	"!"	"Psilotum complanatum"	"Sw."	"J. Bot. (Schrader) 1800(2): 110"	"1801"
"Psilotaceae"	"!"	"Psilotum nudum"	"(L.) P. Beauv."	"Prodr. Aethéogam. 106, 112"	"1805"
"Loranthaceae"	""	"Psittacanthus"	"Mart."	"Flora 13(1): 106–107"	"1830"
"Loranthaceae"	""	"Psittacanthus angustifolius"	"Kuijt"	"Ann. Missouri Bot. Gard. 74(3): 523–525, f, 10"	"1987"
"Loranthaceae"	""	"Psittacanthus calyculatus"	"(DC.) G. Don"	"Gen. Hist. 3: 415"	"1834"
"Loranthaceae"	""	"Psittacanthus mayanus"	"Standl. & Steyerm."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 23(2): 41–42"	"1944"
"Loranthaceae"	""	"Psittacanthus rhynchanthus"	"(Benth.) Kuijt"	"Ann. Missouri Bot. Gard. 74(3): 529, f. 14d–f"	"1987"
"Loranthaceae"	""	"Psittacanthus schiedeanus"	"(Schltdl. & Cham.) G. Don"	"Gen. Hist. 3: 418"	"1834"
"Rubiaceae"	"!!"	"Psychotria"	"L."	"Syst. Nat. (ed. 10) 2: 906 [as Psycothria], 929, 1364"	"1759"
"Rubiaceae"	""	"Psychotria aguilarii"	"Standl. & Steyerm."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 23(1): 23–24"	"1943"
"Rubiaceae"	""	"Psychotria aubletiana"	"Steyerm."	"Mem. New York Bot. Gard. 23: 694"	"1972"
"Rubiaceae"	""	"Psychotria buchtienii"	"(H.J.P. Winkl.) Standl."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 7: 303"	"1931"
"Rubiaceae"	""	"Psychotria carthagenensis"	"Jacq."	"Enum. Syst. Pl. 16"	"1760"
"Rubiaceae"	""	"Psychotria costivenia"	"Griseb."	"Pl. Wright. 2: 508–509"	"1862"
"Rubiaceae"	"!"	"Psychotria erythrocarpa"	"Schltdl."	"Linnaea 9: 595–596"	"1834 [1835]"
"Rubiaceae"	""	"Psychotria flava"	"Oerst. ex Standl."	"J. Wash. Acad. Sci. 17(13): 341"	"1927"
