Family	!	Scientific Name	Author	Reference	Date
"Cucurbitaceae"	"!"	"Sicydium tamnifolium"	"(Kunth) Cogn."	"Monogr. Phan. 3: 905–906"	"1881"
"Cucurbitaceae"	""	"Sicydium tuerckheimii"	"Donn. Sm."	"Bot. Gaz. 52(1): 49"	"1911"
"Cucurbitaceae"	""	"Sicyos"	"L."	"Sp. Pl. 2: 1013"	"1753"
"Cucurbitaceae"	""	"Sicyos davilae"	"Rodrí.-Arév. & Lira"	"Bol. Soc. Bot. México 68: 81–84, f. 1"	"2001"
"Cucurbitaceae"	""	"Sicyos galeottii"	"Cogn."	"Monogr. Phan. 3: 883"	"1881"
"Cucurbitaceae"	""	"Sicyos guatemalensis"	"Standl. & Steyerm."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 23(2): 96"	"1944"
"Cucurbitaceae"	"!"	"Sicyos kunthii"	"Cogn."	"Monogr. Phan. 3: 888–889"	"1881"
"Cucurbitaceae"	""	"Sicyos lirae"	"Rodrí.-Arév."	"Brittonia 55(1): 69–72, f. 1"	"2003"
"Cucurbitaceae"	""	"Sicyos longisepalus"	"Cogn."	"Bot. Gaz. 16(1): 11–12"	"1891"
"Cucurbitaceae"	"!"	"Sicyos parviflorus"	"Willd."	"Sp. Pl. 4(1): 626"	"1805"
"Malvaceae"	""	"Sida"	"L."	"Sp. Pl. 2: 683"	"1753"
"Malvaceae"	"!"	"Sida abutilifolia"	"Mill."	"Gard. Dict. (ed. 8) Sida no. 12"	"1768"
"Malvaceae"	"!"	"Sida acuta"	"Burm. f."	"Fl. Indica 147"	"1768"
"Malvaceae"	"!"	"Sida ciliaris"	"L."	"Syst. Nat. (ed. 10) 2: 1145"	"1759"
"Malvaceae"	"!"	"Sida cordifolia"	"L."	"Sp. Pl. 2: 684"	"1753"
"Malvaceae"	""	"Sida cuspidata"	"(A. Robyns) Krapov."	"Bonplandia (Corrientes) 12: 91"	"2003"
"Malvaceae"	""	"Sida elliottii"	"Torr. & A. Gray"	"Fl. N. Amer. 1(2): 231–232"	"1838"
"Malvaceae"	"!"	"Sida glabra"	"Mill."	"Gard. Dict. (ed. 8) Sida no. 14"	"1768"
"Malvaceae"	"!"	"Sida glutinosa"	"Comm. ex Cav."	"Diss. 1: 16, pl. 2, f. 8"	"1785"
"Malvaceae"	""	"Sida haenkeana"	"C. Presl"	"Reliq. Haenk. 2(2): 104"	"1835"
"Malvaceae"	"!"	"Sida hirsutissima"	"Mill."	"Gard. Dict. (ed. 8) no. 11"	"1768"
"Malvaceae"	""	"Sida hyssopifolia"	"C. Presl"	"Reliq. Haenk. 2(2): 109–110"	"1835"
"Malvaceae"	"!"	"Sida jamaicensis"	"L."	"Syst. Nat. (ed. 10) 2: 1145"	"1759"
"Malvaceae"	"!"	"Sida jussiaeana"	"DC."	"Prodr. 1: 463"	"1824"
"Malvaceae"	""	"Sida lindheimeri"	"Engelm. & A. Gray"	"Boston J. Nat. Hist. 5(2): 213–214"	"1845"
"Malvaceae"	""	"Sida linifolia"	"Juss. ex Cav."	"Diss. 1: 14, pl. 2, f. 1"	"1785"
"Malvaceae"	"!"	"Sida rhombifolia"	"L."	"Sp. Pl. 2: 684"	"1753"
"Malvaceae"	"!"	"Sida salviifolia"	"C. Presl"	"Reliq. Haenk. 2(2): 110"	"1835"
"Malvaceae"	""	"Sida spinosa"	"L."	"Sp. Pl. 2: 683–684"	"1753"
"Malvaceae"	"!"	"Sida ulmifolia"	"Mill."	"Gard. Dict. (ed. 8) Sida no. 1"	"1768"
"Malvaceae"	"!"	"Sida urens"	"L."	"Syst. Nat. (ed. 10) 2: 1145"	"1759"
"Malvaceae"	""	"Sidastrum paniculatum"	"(L.) Fryxell"	"Brittonia 30(4): 453"	"1978"
"Sapotaceae"	""	"Sideroxylon"	"L."	"Sp. Pl. 1: 192"	"1753"
"Sapotaceae"	""	"Sideroxylon americanum"	"(Mill.) T.D. Penn."	"Fl. Neotrop. Monogr. 52: 118"	"1990"
"Sapotaceae"	""	"Sideroxylon capiri"	"(A. DC.) Pittier"	"Contr. U.S. Natl. Herb. 13(12): 462"	"1912"
"Sapotaceae"	""	"Sideroxylon celastrinum"	"(Kunth) T.D. Penn."	"Fl. Neotrop. Monogr. 52: 123"	"1990"
"Sapotaceae"	""	"Sideroxylon contrerasii"	"(Lundell) T.D. Penn."	"Fl. Neotrop. Monogr. 52: 135"	"1990"
"Sapotaceae"	""	"Sideroxylon eucoriaceum"	"(Lundell) T.D. Penn."	"Fl. Neotrop. Monogr. 52: 143–145, f. 24I"	"1990"
