Family	!	Scientific Name	Author	Reference	Date
"Cyperaceae"	""	"Cyperus macrostachyos"	"Lam."	"Tabl. Encycl. 1: 147"	"1791"
"Cyperaceae"	""	"Cyperus manimae"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 1: 209"	"1815 [1816]"
"Cyperaceae"	""	"Cyperus microbrunneus"	"G.C. Tucker"	"Bull. Torrey Bot. Club 110(2): 163, f. 2"	"1983"
"Cyperaceae"	"!"	"Cyperus mutisii"	"(Kunth) Andersson"	"Galapagos Veg. 53"	"1854"
"Cyperaceae"	""	"Cyperus niger"	"Ruiz & Pav."	"Fl. Peruv. 1: 47"	"1798"
"Cyperaceae"	""	"Cyperus ochraceus"	"Vahl"	"Enum. Pl. 2: 325–326"	"1805"
"Cyperaceae"	"!"	"Cyperus odoratus"	"L."	"Sp. Pl. 1: 46"	"1753"
"Cyperaceae"	""	"Cyperus oxylepis"	"Nees ex Steud."	"Syn. Pl. Glumac. 2: 25"	"1855"
"Cyperaceae"	""	"Cyperus pallens"	"(Liebm.) Standl. & Steyerm."	"Fieldiana, Bot. 24(1): 133"	"1958"
"Cyperaceae"	""	"Cyperus pallidicolor"	"(Kük.) G.C. Tucker"	"Fl. Novo-Galiciana 13: 324"	"1993"
"Cyperaceae"	""	"Cyperus panamensis"	"(C.B. Clarke) Britton ex Standl."	"J. Wash. Acad. Sci. 15(20): 457"	"1925"
"Cyperaceae"	""	"Cyperus polystachyos"	"Rottb."	"Descr. Pl. Rar. 21"	"1772"
"Cyperaceae"	""	"Cyperus prolixus"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 1: 206"	"1815 [1816]"
"Cyperaceae"	""	"Cyperus regiomontanus"	"Britton"	"Contr. U.S. Natl. Herb. 1(9): 362"	"1895"
"Cyperaceae"	"!"	"Cyperus rotundus"	"L."	"Sp. Pl. 1: 45"	"1753"
"Cyperaceae"	""	"Cyperus semiochraceus"	"Boeckeler"	"Flora 61: 29"	"1878"
"Cyperaceae"	""	"Cyperus seslerioides"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 1: 209"	"1815 [1816]"
"Cyperaceae"	""	"Cyperus simplex"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 1: 207"	"1815 [1816]"
"Cyperaceae"	""	"Cyperus sphacelatus"	"Rottb."	"Descr. Pl. Rar. 21"	"1772"
"Cyperaceae"	"!"	"Cyperus surinamensis"	"Rottb."	"Descr. Pl. Rar. 20"	"1772"
"Cyperaceae"	""	"Cyperus svensonii"	"G.C. Tucker"	"Rhodora 88(856): 510, f. 4"	"1986"
"Cyperaceae"	""	"Cyperus tenerrimus"	"J. Presl & C. Presl"	"Reliq. Haenk. 1(3): 166"	"1828"
"Cyperaceae"	"!"	"Cyperus tenuis"	"Sw."	"Prodr. 20"	"1788"
"Cyperaceae"	""	"Cyperus thyrsiflorus"	"Jungh."	"Linnaea 6(1): 24–25"	"1831"
"Cyperaceae"	""	"Cyperus virens"	"Michx."	"Fl. Bor.-Amer. 1: 28"	"1803"
"Cyrillaceae"	"!"	"Cyrilla"	"Garden"	"Syst. Nat. (ed. 12) 2: 182"	"1767"
"Cyrillaceae"	"!"	"Cyrilla racemiflora"	"L."	"Syst. Nat. (ed. 12) 2: 182"	"1767"
"Orchidaceae"	""	"Cyrtochiloides"	"N.H. Williams & M.W. Chase"	"Lindleyana 16(4): 284–285"	"2001"
"Orchidaceae"	""	"Cyrtochiloides ochmatochila"	"(Rchb. f.) N.H. Williams & M.W. Chase"	"Lindleyana 16(4): 285"	"2001"
"Asteraceae"	""	"Cyrtocymura"	"H. Rob."	"Proc. Biol. Soc. Washington 100(4): 849–851"	"1987"
"Asteraceae"	""	"Cyrtocymura scorpioides"	"(Lam.) H. Rob."	"Proc. Biol. Soc. Washington 100(4): 852–853"	"1987"
"Orchidaceae"	""	"Cyrtopodium"	"R. Br."	"Hortus Kew. (ed. 2) 5: 216"	"1813"
"Orchidaceae"	""	"Cyrtopodium punctatum"	"(L.) Lindl."	"Gen. Sp. Orchid. Pl. 188"	"1830-1840 [1833]"
"Cystopteridaceae"	"!!"	"Cystopteris"	"Bernh."	"Neues J. Bot. 1(2): 26"	"1805"
"Cystopteridaceae"	"!"	"Cystopteris fragilis"	"(L.) Bernh."	"Neues J. Bot. 1(2): 27, pl. 2, f. 9"	"1805"
"Asteraceae"	"!"	"Dahlia"	"Cav."	"Icon. 1(3): 56–57"	"1791"
"Asteraceae"	""	"Dahlia imperialis"	"Roezl ex Ortgies"	"Gartenflora 12: 243, t. 407–408"	"1863"
"Asteraceae"	""	"Dahlia pinnata"	"Cav."	"Icon. 1(3): 57, t. 80"	"1791"
"Fabaceae"	"!!"	"Dalbergia"	"L. f."	"Suppl. Pl. 52–53, 316–317"	"1781 [1782]"
"Fabaceae"	"!"	"Dalbergia brownei"	"(Jacq.) Schinz"	"Bull. Herb. Boissier 6(9): 731"	"1898"
"Fabaceae"	""	"Dalbergia calderonii"	"Standl."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 4(8): 311"	"1929"
"Fabaceae"	""	"Dalbergia calycina"	"Benth."	"J. Proc. Linn. Soc., Bot. 4(Suppl.): 35"	"1860"
"Fabaceae"	"!"	"Dalbergia ecastaphyllum"	"(L.) Taub."	"Nat. Pflanzenfam. 101–102[III,3]: 335"	"1894"
"Fabaceae"	"!"	"Dalbergia glabra"	"(Mill.) Standl."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 8(1): 15"	"1930"
"Fabaceae"	""	"Dalbergia melanocardium"	"Pittier"	"J. Wash. Acad. Sci. 12(3): 57"	"1922"
"Fabaceae"	"!!"	"Dalbergia monetaria"	"L. f."	"Suppl. Pl. 317"	"1781 [1782]"
"Fabaceae"	"!"	"Dalbergia retusa"	"Hemsl."	"Diagn. Pl. Nov. Mexic. 1: 8"	"1878"
"Fabaceae"	""	"Dalbergia tilarana"	"N. Zamora"	"Novon 10(2): 175–177, f. 1"	"2000"
"Fabaceae"	"!!"	"Dalea"	"L."	"Opera Var. 244"	"1758"
"Fabaceae"	"!"	"Dalea carthagenensis"	"(Jacq.) J.F. Macbr."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 13(3/1): 375"	"1943"
"Fabaceae"	"!"	"Dalea cliffortiana"	"Willd."	"Sp. Pl. 3(2): 1336"	"1802"
"Fabaceae"	"!"	"Dalea scandens"	"(Mill.) R.T. Clausen"	"Bull. Torrey Bot. Club 73(1): 83"	"1946"
"Fabaceae"	"!"	"Dalea sericea"	"Lag."	"Gen. Sp. Pl. 23"	"1816"
"Fabaceae"	"!"	"Dalea tomentosa"	"(Cav.) Willd."	"Sp. Pl. 3(2): 1341"	"1802"
"Euphorbiaceae"	""	"Dalechampia"	"L."	"Sp. Pl. 2: 1054"	"1753"
"Euphorbiaceae"	""	"Dalechampia canescens"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 2: 98"	"1817"
"Euphorbiaceae"	"!"	"Dalechampia dioscoreifolia"	"Poepp."	"Nov. Gen. Sp. Pl. 3: 20"	"1841"
"Euphorbiaceae"	"!"	"Dalechampia scandens"	"L."	"Sp. Pl. 2: 1054"	"1753"
"Euphorbiaceae"	""	"Dalechampia shankii"	"(Ant. Molina) Huft"	"Ann. Missouri Bot. Gard. 71: 341"	"1984"
"Euphorbiaceae"	"!"	"Dalechampia tiliifolia"	"Lam."	"Encycl. 2: 257"	"1786"
"Euphorbiaceae"	""	"Dalechampia websteri"	"Armbr."	"Syst. Bot. 9(3): 272–275, f. 1, t. 1"	"1984"
"Marattiaceae"	"!"	"Danaea"	"Sm."	"Mém. Acad. Roy. Sci. (Turin) 5(1790–1791): 420, t. 9, f. 11"	"1793"
"Marattiaceae"	""	"Danaea elliptica"	"Sm."	"Cycl. 11: , n. 2"	"1808"
"Marattiaceae"	""	"Danaea geniculata"	"Raddi"	"Opusc. Sci. 3: 281"	"1819"
"Marattiaceae"	""	"Danaea media"	"Liebm."	"Kongel. Danske Vidensk. Selsk. Skr., Naturvidensk. Math. Afd., ser. 5, 1: 306"	"1849"
"Marattiaceae"	""	"Danaea moritziana"	"C. Presl"	"Suppl. Tent. Pterid. 35"	"1845"
"Marattiaceae"	""	"Danaea nodosa"	"(L.) Sm."	"Mém. Acad. Roy. Sci. (Turin) 5(1790–1791): 420, t. 9, f. 11"	"1793"
"Marattiaceae"	""	"Danaea wendlandii"	"Rchb. f."	"Bot. Zeitung (Berlin) 30: 490"	"1872"
"Thymelaeaceae"	""	"Daphnopsis"	"Mart."	"Nov. Gen. Sp. Pl. 1(3): 65"	"1824"
"Thymelaeaceae"	""	"Daphnopsis americana"	"(Mill.) J.R. Johnst."	"Proc. Boston Soc. Nat. Hist. 34: 242"	"1909"
"Thymelaeaceae"	""	"Daphnopsis ficina"	"Standl. & Steyerm."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 22(4): 254"	"1940"
"Solanaceae"	""	"Datura"	"L."	"Sp. Pl. 1: 179"	"1753"
"Solanaceae"	"!"	"Datura innoxia"	"Mill."	"Gard. Dict. (ed. 8) Datura no. 5"	"1768"
"Solanaceae"	""	"Datura stramonium"	"L."	"Sp. Pl. 1: 179"	"1753"
"Dilleniaceae"	""	"Davilla"	"Vand."	"Fl. Lusit. Bras. Spec. 35, f. 14"	"1788"
"Dilleniaceae"	"!"	"Davilla kunthii"	"A. St.-Hil."	"Pl. Usuel. Bras. , sub t. 22"	"1824 [1825]"
"Dilleniaceae"	""	"Davilla nitida"	"(Vahl) Kubitzki"	"Mitt. Bot. Staatssamml. München 9: 95–99"	"1971"
"Cactaceae"	""	"Deamia"	"Britton & Rose"	"Cact. 2: 212, f. 293"	"1920"
"Cactaceae"	""	"Deamia testudo"	"(Karw. ex Zucc.) Britton & Rose"	"Cact. 2: 213, f. 293"	"1920"
"Rutaceae"	""	"Decazyx macrophyllus"	"Pittier & S.F. Blake"	"Contr. U.S. Natl. Herb. 24(1): 9, pl. 3, f. 1–2"	"1922"
"Rubiaceae"	""	"Declieuxia"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 3: 352"	"1818 [1819]"
"Rubiaceae"	""	"Declieuxia fruticosa"	"(Willd.) Kuntze"	"Revis. Gen. Pl. 1: 279"	"1891"
"Fabaceae"	""	"Deguelia densiflora"	"(Benth.) A.M.G. Azevedo ex M. Sousa"	"Revista Mex. Biodivers. 80(2): 306–307"	"2009"
"Primulaceae"	""	"Deherainia"	"Decne."	"Ann. Sci. Nat., Bot., sér. 6, 3: 138"	"1876"
"Orchidaceae"	"!"	"Deiregyne"	"Schltr."	"Beih. Bot. Centralbl., Abt. 2 37(3): 426"	"1920"
"Orchidaceae"	""	"Deiregyne hemichrea"	"(Lindl.) Schltr."	"Beih. Bot. Centralbl., Abt. 2 37(3): 427"	"1920"
"Asteraceae"	""	"Delilia"	"Spreng."	"Bull. Sci. Soc. Philom. Paris 1823: 54"	"1823"
"Asteraceae"	""	"Delilia biflora"	"(L.) Kuntze"	"Revis. Gen. Pl. 1: 333"	"1891"
