Family	!	Scientific Name	Author	Reference	Date
"Bromeliaceae"	""	"Werauhia werckleana"	"(Mez) J.R. Grant"	"Trop. Subtrop. Pflanzenwelt 91: 38"	"1995"
"Celastraceae"	""	"Wimmeria bartlettii"	"Lundell"	"Bull. Torrey Bot. Club 65(7): 467–469"	"1938"
"Malvaceae"	""	"Wissadula"	"Medik."	"Malvenfam. 24"	"1787"
"Malvaceae"	""	"Wissadula excelsior"	"(Cav.) C. Presl"	"Reliq. Haenk. 2(2): 118, pl. 69, f. a–n"	"1835"
"Malvaceae"	""	"Wissadula hernandioides"	"(L'Hér.) Garcke"	"Z. Naturwiss. 63(2–3): 122"	"1890 [1890]"
"Malvaceae"	"!"	"Wissadula periplocifolia"	"(L.) C. Presl ex Thwaites"	"Enum. Pl. Zeyl. 27"	"1858"
"Solanaceae"	"!"	"Witheringia"	"L'Hér."	"Sert. Angl. 1: 19, t. 1"	"1788"
"Solanaceae"	"!"	"Witheringia solanacea"	"L'Hér."	"Sert. Angl. 1: 19, t. 1"	"1788 [1789]"
"Araceae"	""	"Wolffia brasiliensis"	"Wedd."	"Ann. Sci. Nat., Bot., sér. 3, 12(3): 170, pl. 8, f. 1–23"	"1849"
"Araceae"	""	"Wolffia columbiana"	"H. Karst."	"Bot. Untersuch. (Berlin) 1: 103–104, f. 11(4–14)"	"1867 [1865]"
"Araceae"	"!"	"Wolffia globosa"	"(Roxb.) Hartog & Plas"	"Blumea 18(2): 367"	"1970"
"Araceae"	"!"	"Xanthosoma mafaffa"	"Schott"	"Arac. Betreff. 2: 5"	"1855"
"Araceae"	""	"Xanthosoma mexicanum"	"Liebm."	"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn 1849(1–2): 15"	"1849"
"Araceae"	""	"Xanthosoma robustum"	"Schott"	"Oesterr. Bot. Wochenbl. 3(47): 370"	"1853"
"Araceae"	"!"	"Xanthosoma sagittifolium"	"(L.) Schott"	"Melet. Bot. 19"	"1832"
"Ximeniaceae"	""	"Ximenia"	"L."	"Sp. Pl. 2: 1193"	"1753"
"Ximeniaceae"	""	"Ximenia americana"	"L."	"Sp. Pl. 2: 1193–1194"	"1753"
"Haemodoraceae"	"!"	"Xiphidium caeruleum"	"Aubl."	"Hist. Pl. Guiane 1: 33, pl. 11"	"1775"
"Orchidaceae"	""	"Xylobium"	"Lindl."	"Bot. Reg. 11: ad t. 897"	"1825"
"Orchidaceae"	""	"Xylobium colleyi"	"(Bateman ex Lindl.) Rolfe"	"Gard. Chron., ser. 3 7: 288, 290"	"1890"
"Orchidaceae"	""	"Xylobium subpulchrum"	"Dressler"	"Orquideología 21(3): 310, photo"	"2000"
"Bignoniaceae"	""	"Xylophragma seemannianum"	"(Kuntze) Sandwith"	"Kew Bull. 8(4): 469–470"	"1953 [1954]"
"Annonaceae"	"!!"	"Xylopia"	"L."	"Syst. Nat. (ed. 10) 2: 1241, 1250, 1378"	"1759"
"Annonaceae"	"!"	"Xylopia frutescens"	"Aubl."	"Hist. Pl. Guiane 1: 602, t. 242"	"1775"
"Salicaceae"	"!!"	"Xylosma"	"G. Forst."	"Fl. Ins. Austr. 72"	"1786"
"Salicaceae"	""	"Xylosma chlorantha"	"Donn. Sm."	"Bot. Gaz. 57(5): 415–416"	"1914"
"Salicaceae"	""	"Xylosma cinerea"	"(Clos) Hemsl."	"Biol. Cent.-Amer., Bot. 1(1): 57"	"1879"
"Salicaceae"	""	"Xylosma flexuosa"	"(Kunth) Hemsl."	"Biol. Cent.-Amer., Bot. 1(1): 57"	"1879"
"Salicaceae"	"!"	"Xylosma intermedia"	"(Seem.) Triana & Planch."	"Ann. Sci. Nat., Bot., sér. 4, 17: 100"	"1862"
"Salicaceae"	""	"Xylosma oligandra"	"Donn. Sm."	"Bot. Gaz. 23(4): 235"	"1897"
"Salicaceae"	""	"Xylosma panamensis"	"Turcz."	"Bull. Soc. Imp. Naturalistes Moscou 36(1): 554"	"1863"
"Salicaceae"	""	"Xylosma quichensis"	"Donn. Sm."	"Bot. Gaz. 18(6): 197"	"1893"
"Xyridaceae"	""	"Xyris ambigua"	"Beyr. ex Kunth"	"Enum. Pl. 4: 13–14"	"1843"
"Xyridaceae"	""	"Xyris baldwiniana"	"Schult."	"Mant. 1: 351"	"1822"
"Xyridaceae"	""	"Xyris difformis"	"Chapm."	"Fl. South. U.S. 500"	"1860"
"Xyridaceae"	""	"Xyris elliottii"	"Chapm."	"Fl. South. U.S. 500"	"1860"
"Xyridaceae"	"!"	"Xyris jupicai"	"Rich."	"Actes Soc. Hist. Nat. Paris 1: 106"	"1792"
"Xyridaceae"	""	"Xyris navicularis"	"Griseb."	"Cat. Pl. Cub. 223"	"1866"
"Xyridaceae"	""	"Xyris paraensis"	"Poepp. ex Kunth"	"Enum. Pl. 4: 9"	"1843"
"Xyridaceae"	""	"Xyris smalliana"	"Nash"	"Bull. Torrey Bot. Club 22(4): 159–160"	"1895"
"Asparagaceae"	""	"Yucca guatemalensis"	"Baker"	"Refug. Bot. 5: t. 313"	"1872"
"Asparagaceae"	""	"Yucca lacandonica"	"Gómez Pompa & J. Valdés"	"Bol. Soc. Bot. México 27: 43"	"1962"
"Zamiaceae"	"!!"	"Zamia"	"L."	"Sp. Pl. (ed. 2) 2: 1659"	"1763"
"Zamiaceae"	""	"Zamia furfuracea"	"Aiton"	"Hort. Kew. 3: 477"	"1789"
"Zamiaceae"	""	"Zamia loddigesii"	"Miq."	"Tijdschr. Nat. Geschied. 10: 72–73"	"1843"
"Zamiaceae"	""	"Zamia monticola"	"Chamb."	"Bot. Gaz. 81(2): 219–223, f. 1–3"	"1926"
"Zamiaceae"	""	"Zamia polymorpha"	"D.W. Stev., A. Moretti & Vázq. Torres"	"Delpinoa 37–38: 4–7, f. 1"	"1995 [1998]"
"Rutaceae"	"!"	"Zanthoxylum"	"L."	"Sp. Pl. 1: 270"	"1753"
"Rutaceae"	""	"Zanthoxylum acuminatum"	"(Sw.) Sw."	"Fl. Ind. Occid. 1: 575"	"1797"
"Rutaceae"	""	"Zanthoxylum caribaeum"	"Lam."	"Encycl. 2(1): 39"	"1786"
"Rutaceae"	""	"Zanthoxylum ekmanii"	"(Urb.) Alain"	"Contr. Ocas. Mus. Hist. Nat. Colegio "De La Salle" 9: 24"	"1950"
"Rutaceae"	""	"Zanthoxylum fagara"	"(L.) Sarg."	"Gard. & Forest 3(112): 186"	"1890"
"Rutaceae"	""	"Zanthoxylum juniperinum"	"Poepp."	"Nov. Gen. Sp. Pl. 3: 77"	"1845"
"Rutaceae"	""	"Zanthoxylum kellermanii"	"P. Wilson"	"N. Amer. Fl. 25(3): 195"	"1911"
"Rutaceae"	""	"Zanthoxylum melanostictum"	"Schltdl. & Cham."	"Linnaea 5: 231–232"	"1830"
"Rutaceae"	""	"Zanthoxylum panamense"	"P. Wilson"	"Contr. U.S. Natl. Herb. 20(12): 479"	"1922"
"Rutaceae"	""	"Zanthoxylum petenense"	"Lundell"	"Wrightia 5(8): 317–318"	"1976"
"Rutaceae"	""	"Zanthoxylum riedelianum"	"Engl."	"Fl. Bras. 12(2): 162–163, t. 35, f. 1"	"1874"
"Rutaceae"	""	"Zanthoxylum setulosum"	"P. Wilson"	"Contr. U.S. Natl. Herb. 20(12): 480"	"1922"
"Fabaceae"	""	"Zapoteca formosa"	"(Kunth) H.M. Hern."	"Ann. Missouri Bot. Gard. 73(4): 757"	"1986 [1987]"
"Fabaceae"	""	"Zapoteca portoricensis"	"(Jacq.) H.M. Hern."	"Ann. Missouri Bot. Gard. 73(4): 758"	"1986 [1987]"
"Fabaceae"	""	"Zapoteca ravenii"	"H.M. Hern."	"Syst. Bot. 15(2): 226–229, f. 1–7"	"1990"
"Fabaceae"	""	"Zapoteca tetragona"	"(Willd.) H.M. Hern."	"Ann. Missouri Bot. Gard. 73(4): 757"	"1986 [1987]"
