Family	!	Scientific Name	Author	Reference	Date
"Geraniaceae"	"!!"	"Geraniaceae"	"Juss."	"Gen. Pl. 268"	"1789"
"Gesneriaceae"	""	"Gesneriaceae"	"Rich. & Juss."	"Essai Propr. Méd. Pl., ed. 2 192"	"1816"
"Goodeniaceae"	"!!"	"Goodeniaceae"	"R. Br."	"Prodr. 573–574"	"1810"
"Haemodoraceae"	"!!"	"Haemodoraceae"	"R. Br."	"Prodr. 299"	"1810"
"Haloragaceae"	"!!"	"Haloragaceae"	"R. Br."	"Voy. Terra Austral. 2: 549"	"1814"
"Hamamelidaceae"	"!!"	"Hamamelidaceae"	"R. Br."	"Narr. Journey China 374"	"1818"
"Hydrangeaceae"	"!!"	"Hydrangeaceae"	"Dumort."	"Anal. Fam. Pl. 36, 38"	"1829"
"Hydrophyllaceae"	"!!"	"Hydrophyllaceae"	"R. Br."	"Bot. Reg. 3: sub t. 242"	"1817"
"Hypericaceae"	"!!"	"Hypericaceae"	"Juss."	"Gen. Pl. 254"	"1789"
"Iridaceae"	"!!"	"Iridaceae"	"Juss."	"Gen. Pl. 57"	"1789"
"Juglandaceae"	"!!"	"Juglandaceae"	"DC. ex Perleb"	"Vers. Arzneikr. Pfl. 143"	"1818"
"Juncaceae"	"!!"	"Juncaceae"	"Juss."	"Gen. Pl. 43"	"1789"
"Lamiaceae"	"!!"	"Lamiaceae"	"Martinov"	"Tekhno-Bot. Slovar. 355"	"1820"
"Lauraceae"	"!!"	"Lauraceae"	"Juss."	"Gen. Pl. 80"	"1789"
"Lentibulariaceae"	"!!"	"Lentibulariaceae"	"Rich."	"Fl. Paris (ed. fol.) 1: 23"	"1808"
"Liliaceae"	"!!"	"Liliaceae"	"Juss."	"Gen. Pl. 48"	"1789"
"Limnanthaceae"	"!!"	"Limnanthaceae"	"R. Br."	"London Edinburgh Philos. Mag. & J. Sci. 3: 70–71"	"1833"
"Linaceae"	"!!"	"Linaceae"	"DC. ex Perleb"	"Vers. Arzneikr. Pfl. 107"	"1818"
"Loganiaceae"	"!!"	"Loganiaceae"	"R. Br. ex Mart."	"Nov. Gen. Sp. Pl. 2: 133"	"1827"
"Loranthaceae"	"!!"	"Loranthaceae"	"Juss."	"Ann. Mus. Natl. Hist. Nat. 12: 292"	"1808"
"Lycopodiaceae"	""	"Lycopodiaceae"	"P. Beauv. ex Mirb."	"Hist. Nat. Vég. 4: 293"	"1802"
"Lythraceae"	"!!"	"Lythraceae"	"J. St.-Hil."	"Expos. Fam. Nat. 2: 175"	"1805"
"Magnoliaceae"	"!!"	"Magnoliaceae"	"Juss."	"Gen. Pl. 280"	"1789"
"Malpighiaceae"	"!!"	"Malpighiaceae"	"Juss."	"Gen. Pl. 252"	"1789"
"Malvaceae"	"!!"	"Malvaceae"	"Juss."	"Gen. Pl. 271"	"1789"
"Marantaceae"	"!!"	"Marantaceae"	"R. Br."	"Voy. Terra Austral. 2: 575"	"1814"
"Melanthiaceae"	"!!"	"Melanthiaceae"	"Batsch"	"Syn. Univ. Analytica Gen. Pl. 2: 384"	"1794"
"Menispermaceae"	"!!"	"Menispermaceae"	"Juss."	"Gen. Pl. 284–285"	"1789"
"Monimiaceae"	"!!"	"Monimiaceae"	"Juss."	"Ann. Mus. Natl. Hist. Nat. 14: 133"	"1809"
"Moraceae"	"!!"	"Moraceae"	"Gaudich."	"Gen. Pl. 13"	"1835"
"Myricaceae"	"!!"	"Myricaceae"	"Rich. ex Kunth"	"Nov. Gen. Sp. (quarto ed.) 2: 16"	"1817"
"Myrtaceae"	"!!"	"Myrtaceae"	"Juss."	"Gen. Pl. 322–323"	"1789"
"Nyctaginaceae"	"!!"	"Nyctaginaceae"	"Juss."	"Gen. Pl. 90"	"1789"
"Nymphaeaceae"	"!!"	"Nymphaeaceae"	"Salisb."	"Ann. Bot. (König & Sims) 2: 70"	"1805"
"Oleaceae"	""	"Oleaceae"	"Hoffmanns. & Link"	"Fl. Portug. 1: 62"	"1809"
"Onagraceae"	"!!"	"Onagraceae"	"Juss."	"Gen. Pl. 317–318"	"1789"
"Orchidaceae"	"!!"	"Orchidaceae"	"Juss."	"Gen. Pl. 64–65"	"1789"
"Orobanchaceae"	""	"Orobanchaceae"	"Vent."	"Tabl. Regn. Veg. 2: 292"	"1799"
"Papaveraceae"	"!!"	"Papaveraceae"	"Juss."	"Gen. Pl. 235–236"	"1789"
"Passifloraceae"	"!!"	"Passifloraceae"	"Juss. ex Roussel"	"Fl. Calvados (ed. 2) 334"	"1806"
"Picramniaceae"	""	"Picramniaceae"	"Fernando & Quinn"	"Taxon 44: 177"	"1995"
"Pinaceae"	"!!"	"Pinaceae"	"Spreng. ex Rudolphi"	"Syst. Orb. Veg. 35"	"1830"
"Piperaceae"	"!!"	"Piperaceae"	"Giseke"	"Prae. Ord. Nat. Pl. 123"	"1792"
