Family	!	Scientific Name	Author	Reference	Date
"Pinaceae"	""	"Abies bifolia"	"A. Murray"	"Proc. Roy. Hort. Soc. London 3: 320"	"1863"
"Pinaceae"	"!"	"Abies grandis"	"(Douglas ex D. Don) Lindl."	"Penny Cyclop. 1: 30"	"1833"
"Pinaceae"	""	"Abies lasiocarpa"	"(Hook.) Nutt."	"N. Amer. Sylv. 3: 138"	"1849"
"Pinaceae"	"!"	"Abies nigra"	"Du Roi"	"Harbk. Baumz. (ed. 2) 182"	"1800"
"Nyctaginaceae"	""	"Abronia latifolia"	"Eschsch."	"Mém. Acad. Imp. Sci. St. Pétersbourg Hist. Acad. 10: 281"	"1826"
"Malvaceae"	""	"Abutilon theophrasti"	"Medik."	"Malvenfam. 28"	"1787"
"Fabaceae"	""	"Acacia horrida"	"(L.) Willd."	"Sp. Pl. 4(2): 1082"	"1806"
"Euphorbiaceae"	""	"Acalypha"	"L."	"Sp. Pl. 2: 1003"	"1753"
"Euphorbiaceae"	""	"Acalypha rhomboidea"	"Raf."	"New Fl. 1: 45"	"1836"
"Euphorbiaceae"	""	"Acalypha rhomboidea var. rhomboidea"	""	""	""
"Asteraceae"	""	"Acanthoxanthium spinosum"	"(L.) Fourr."	"Ann. Soc. Linn. Lyon, sér. 2 17: 110"	"1869"
"Sapindaceae"	""	"Acer"	"L."	"Sp. Pl. 2: 1054"	"1753"
"Sapindaceae"	""	"Acer campestre"	"L."	"Sp. Pl. 2: 1055–1056"	"1753"
"Sapindaceae"	""	"Acer glabrum"	"Torr."	"Ann. Lyceum Nat. Hist. New York 2: 172"	"1827"
"Sapindaceae"	""	"Acer glabrum var. douglasii"	"(Hook.) Dippel"	"Handb. Laubholzk. 2: 438"	"1892 [1891]"
"Sapindaceae"	""	"Acer macrophyllum"	"Pursh"	"Fl. Amer. Sept. 1: 267"	"1814 [1813]"
"Sapindaceae"	""	"Acer negundo"	"L."	"Sp. Pl. 2: 1056"	"1753"
