Family	!	Scientific Name	Author	Reference	Date
"Piperaceae"	""	"Piper pseudodelectans"	"Callejas"	"Fl. Mesoamer. 2(2): 485, 359"	"2020"
"Piperaceae"	"!"	"Piper pseudodilatatum"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 165"	"1896 [1898]"
"Piperaceae"	""	"Piper pseudofimbriulatum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 153"	"1929"
"Piperaceae"	""	"Piper pseudofuligineum"	"C. DC."	"Linnaea 37: 355"	"1871-1873 [1872]"
"Piperaceae"	""	"Piper pseudoglabrifolium"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 150"	"1929"
"Piperaceae"	""	"Piper pseudolanceifolium"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 170"	"1929"
"Piperaceae"	"!"	"Piper pseudolindenii"	"C. DC."	"Linnaea 37: 335–336"	"1871-1873 [1872]"
"Piperaceae"	""	"Piper pseudoperbrevicaule"	"Callejas"	"Fl. Mesoamer. 2(2): 485, 364"	"2020"
"Piperaceae"	""	"Piper pseudoperfugii"	"Callejas"	"Fl. Mesoamer. 2(2): 485, 364, t. 59"	"2020"
"Piperaceae"	""	"Piper psilorhachis"	"C. DC."	"Annuaire Conserv. Jard. Bot. Genève 2: 253"	"1898"
"Piperaceae"	""	"Piper pubens"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 163"	"1929"
"Piperaceae"	""	"Piper pubinerve"	"C. DC."	"Bot. Gaz. 70(3): 172"	"1920"
"Piperaceae"	""	"Piper pullibracteatum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 182"	"1929"
"Piperaceae"	""	"Piper punctiunculatum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 180"	"1929"
"Piperaceae"	""	"Piper puntarenasense"	"Callejas"	"Fl. Mesoamer. 2(2): 486, 370, t. 61"	"2020"
"Piperaceae"	""	"Piper pustulicaule"	"Trel."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 18(1): 357"	"1937"
"Piperaceae"	""	"Piper quitense"	"C. DC."	"J. Bot. 4: 163"	"1866"
"Piperaceae"	""	"Piper ramirezii"	"Callejas"	"Fl. Mesoamer. 2(2): 486, 372, t. 62"	"2020"
"Piperaceae"	""	"Piper rectamentum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 180"	"1929"
"Piperaceae"	""	"Piper recuperatum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 132"	"1929"
"Piperaceae"	""	"Piper reptabundum"	"C. DC."	"Bot. Gaz. 70(3): 169"	"1920"
"Piperaceae"	""	"Piper retalhuleuense"	"Trel. & Standl."	"Fieldiana, Bot. 24(3): 321"	"1952"
"Piperaceae"	"!"	"Piper reticulatum"	"L."	"Sp. Pl. 1: 29"	"1753"
"Piperaceae"	""	"Piper reventazonis"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 172"	"1929"
"Piperaceae"	""	"Piper rigidomucronatum"	"Callejas"	"Fl. Mesoamer. 2(2): 486–487, 375"	"2020"
"Piperaceae"	""	"Piper riparense"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 173"	"1896 [1898]"
"Piperaceae"	""	"Piper ripicola"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 171"	"1896 [1898]"
"Piperaceae"	""	"Piper roseiflorum"	"Callejas"	"Fl. Mesoamer. 2(2): 487, 377"	"2020"
"Piperaceae"	""	"Piper rothschuhii"	"C. DC."	"Bot. Jahrb. Syst. 29(1): 94"	"1900"
"Piperaceae"	""	"Piper rotundibaccum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 164"	"1929"
"Piperaceae"	""	"Piper rubrospadix"	"Trel."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 18(1): 358"	"1937"
"Piperaceae"	""	"Piper rugosifolium"	"Trel."	"Contr. U.S. Natl. Herb. 28: 185"	"1929"
"Piperaceae"	""	"Piper sagittifolium"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 171"	"1896 [1898]"
"Piperaceae"	""	"Piper salinasanum"	"C. DC."	"Bull. Soc. Roy. Bot. Belgique 30(1): 214"	"1891 [1892]"
"Piperaceae"	"!"	"Piper sancti-felicis"	"Trel."	"Contr. U.S. Natl. Herb. 26(2): 35"	"1927"
"Piperaceae"	"!"	"Piper sanctum"	"(Miq.) Schltdl. ex C. DC."	"Prodr. 16(1): 330"	"1869"
"Piperaceae"	""	"Piper sanluisense"	"Trel."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 18(4): 1547"	"1938"
"Piperaceae"	""	"Piper san-marcosanum"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 158"	"1896 [1898]"
"Piperaceae"	""	"Piper scalpens"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 176"	"1929"
"Piperaceae"	"!"	"Piper schiedeanum"	"Steud."	"Nomencl. Bot. (ed. 2) 2: 343"	"1841"
"Piperaceae"	""	"Piper scintillans"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 179"	"1929"
"Piperaceae"	""	"Piper scleromyelum"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 167"	"1896 [1898]"
"Piperaceae"	""	"Piper seducentifolium"	"Trel."	"Ann. Missouri Bot. Gard. 27(3): 297–298"	"1940"
"Piperaceae"	""	"Piper sepicola"	"C. DC."	"Bull. Soc. Roy. Bot. Belgique 30(1): 202"	"1891 [1892]"
"Piperaceae"	""	"Piper sepium"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 168"	"1896 [1898]"
"Piperaceae"	""	"Piper signatum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 152"	"1929"
"Piperaceae"	""	"Piper silvanorum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 169"	"1929"
"Piperaceae"	""	"Piper silvicola"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 159"	"1896 [1898]"
"Piperaceae"	""	"Piper silvivagum"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 162"	"1896 [1898]"
"Piperaceae"	""	"Piper simulans"	"Trel."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 18(1): 361"	"1937"
"Piperaceae"	""	"Piper sinuatifolium"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 147"	"1929"
"Piperaceae"	""	"Piper sinugaudens"	"C. DC."	"Bot. Gaz. 70(3): 188"	"1920"
"Piperaceae"	""	"Piper siquirresense"	"Trel."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 18(1): 361"	"1937"
"Piperaceae"	""	"Piper sirenasense"	"Callejas"	"Fl. Mesoamer. 2(2): 487, 397"	"2020"
"Piperaceae"	""	"Piper sociorum"	"Trel. & Yunck."	"Piperac. N. South Amer. 1: 225–226, f. 189"	"1950"
"Piperaceae"	""	"Piper spicilongum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 177"	"1929"
"Piperaceae"	""	"Piper spinaciifolium"	"Callejas"	"Fl. Mesoamer. 2(2): 488, 399, t. 65"	"2020"
"Piperaceae"	""	"Piper squalipelliculum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 178"	"1929"
"Piperaceae"	""	"Piper stenocladophorum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 168"	"1929"
